Case ID,Category,Question,Expected Target,BM25 Only,Dense Vector Only,Hybrid w/o RRF,Hybrid + RRF,Full Retr + Verif,Full SupportIQ Pipeline,Diagnosis
11,Policy,How long does it take for an approved refund to be processed after inspection?,Chunk 3,PASS,PASS (MRR 1.00),PASS,PASS,PASS,PASS (Optimal),Optimal (Correct)
12,Security & Access,What security measures does SupportIQ enforce for administrative account credentials?,Chunk 4,PASS,PASS (MRR 1.00),PASS,PASS,PASS,PASS (Optimal),Optimal (Correct)
13,Warranty,What is required before dispatching an RMA for hardware warranty claims?,Chunk 7,PASS,PASS (MRR 1.00),PASS,PASS,PASS,PASS (Optimal),Optimal (Correct)
14,Integration,How can SupportIQ be integrated with third-party ticketing platforms?,Chunk 9,PASS,PASS (MRR 1.00),PASS,PASS,PASS,PASS (Optimal),Optimal (Correct)
15,Billing,Where can customers download their monthly subscription invoices?,Chunk 11,PASS,PASS (MRR 1.00),PASS,PASS,PASS,PASS (Optimal),Optimal (Correct)
16,Security,What encryption standards are used to protect customer support conversations and documents?,Chunk 12,PASS,PASS (MRR 0.33),PASS,PASS,PASS,PASS (Optimal),Dense Vector Only ranked ground-truth Chunk 12 at Rank 3 (MRR 0.3333) due to semantic drift toward billing chunks.
17,Account & Roles,What responsibilities do knowledge managers have in SupportIQ?,Chunk 13,PASS,FAIL (MRR 0.25),PASS,PASS,PASS,PASS (Optimal),Dense Vector Only ranked ground-truth Chunk 13 at Rank 4 (MRR 0.2500) and failed citation precision.
18,Unsupported,Does SupportIQ offer holographic telepathic customer support?,Safe Refusal,PASS,FAIL (Hallucinated),PASS,FAIL (Hallucinated),FAIL (Hallucinated),PASS (Optimal),"Fails in Dense, Naive RRF, and Mode 5. Mode 5 matched boilerplate words ('supportiq', 'customer', 'support'); solved by domain stopword filter in Mode 6."
19,Unsupported,Can I pay for my enterprise subscription with Martian mineral mining credits?,Safe Refusal,PASS,FAIL (Hallucinated),PASS,FAIL (Hallucinated),PASS,PASS (Optimal),Dense Only & Naive RRF hallucinated; lexical & claim-verified modes correctly refused.
20,Unsupported,What is the warranty coverage for warp drive antimatter core containment breaches?,Safe Refusal,FAIL (Hallucinated),FAIL (Hallucinated),FAIL (Hallucinated),FAIL (Hallucinated),PASS,PASS (Optimal),BM25 Only and Hybrid w/o RRF hallucinated on keyword 'warranty' (matched Dell laptop chunk); suppressed by RRF rank dampening & claim verification.
